ticker,expiry,dte,spot,call_oi,put_oi,pcr_oi,call_vol,put_vol,atm_iv,implied_move_pct,max_pain,max_pain_vs_spot_pct,call_oi_wall,put_oi_wall,p20_strike,p20_delta,p20_bid,p20_ask,p20_mid,p20_iv,p20_oi,p20_ann_yield,sector
A,2026-09-18,1,156.095,8053.0,4628.0,0.5746926611200794,100.0,47.0,0.46965,2.458260452444939,150.0,-3.9046734360485558,150.0,145.0,160.0,-0.8236,3.0,6.0,4.5,0.6865,30.0,10.265625,Health Care
A,2026-10-16,29,156.095,2056.0,4735.0,2.3030155642023344,160.0,212.0,0.2864,8.072825785583607,140.0,-10.311028540311984,160.0,140.0,145.0,-0.1764,1.05,1.45,1.25,0.3023,89.0,0.10850178359096314,Health Care
A,2026-11-20,64,156.095,979.0,454.0,0.4637385086823289,223.0,22.0,0.29710000000000003,12.4407397921242,160.0,2.5016816682148724,160.0,130.0,140.0,-0.1748,2.0,2.2,2.1,0.3204,44.0,0.08554687500000001,Health Care
A,2026-12-18,92,156.095,674.0,343.0,0.5089020771513353,384.0,4.0,0.33240000000000003,16.68816159839803,165.0,5.704859220346581,185.0,140.0,140.0,-0.2194,3.3,5.4,4.35,0.3722,51.0,0.12327251552795031,Health Care
A,2027-01-15,120,156.095,5546.0,1475.0,0.26595744680851063,116.0,4.0,0.330975,18.977516672133262,190.0,21.720746981005167,190.0,135.0,135.0,-0.1888,3.1,3.7,3.4000000000000004,0.3442,245.0,0.07660493827160494,Health Care
A,2027-02-19,155,156.095,176.0,60.0,0.3409090909090909,3.0,0.0,0.3251,21.18538624644259,160.0,2.5016816682148724,155.0,155.0,135.0,-0.207,3.7,5.1,4.4,0.3428,2.0,0.07675029868578256,Health Care
A,2027-03-19,183,156.095,937.0,639.0,0.6819637139807898,6.0,0.0,0.33255,23.547026079566415,130.0,-16.717383644575424,110.0,105.0,130.0,-0.1821,3.9,5.2,4.55,0.3671,50.0,0.0698087431693989,Health Care
A,2027-05-21,246,156.095,0.0,0.0,,0.0,0.0,0.3335,27.378960775578847,105.0,-32.733271405233985,105.0,105.0,130.0,-0.1995,3.7,7.6,5.65,0.3543,0.0,0.06448561601000626,Health Care
A,2027-06-17,273,156.095,608.0,433.0,0.712171052631579,0.0,78.0,0.34652499999999997,29.96880759468518,155.0,-0.7014958839168473,175.0,125.0,130.0,-0.2052,5.8,7.6,6.699999999999999,0.37,54.0,0.06890673429134968,Health Care
A,2027-09-17,365,156.095,199.0,140.0,0.7035175879396985,22.0,21.0,0.34695,34.695,175.0,12.111214324610021,200.0,155.0,125.0,-0.1909,6.6,8.0,7.3,0.3774,1.0,0.0584,Health Care
A,2028-01-21,491,156.095,5.0,0.0,0.0,0.0,0.0,0.34712499999999996,40.26059663858951,140.0,-10.311028540311984,140.0,105.0,125.0,-0.1994,7.8,10.2,9.0,0.3704,0.0,0.0535234215885947,Health Care
A,2029-01-19,855,156.095,2.0,1.0,0.5,0.0,0.0,0.34950000000000003,53.49138037079061,155.0,-0.7014958839168473,155.0,140.0,125.0,-0.2093,10.5,15.5,13.0,0.3655,0.0,0.04439766081871345,Health Care
AAPL,2026-09-18,1,336.71,459505.0,327600.0,0.7129410996615924,521203.0,338743.0,0.2754,1.4415094828134485,325.0,-3.477770187995599,350.0,300.0,332.5,-0.1876,0.5,0.52,0.51,0.2887,4228.0,0.5598496240601504,Information Technology
AAPL,2026-09-21,4,336.71,31706.0,12477.0,0.3935217309026683,67703.0,37899.0,0.19774999999999998,2.070141613844295,340.0,0.9771019571738426,340.0,310.0,330.0,-0.167,0.61,0.65,0.63,0.2076,812.0,0.17420454545454545,Information Technology
AAPL,2026-09-23,6,336.71,9597.0,4571.0,0.4762946754194019,26695.0,7076.0,0.221825,2.8440660828401376,345.0,2.4620593388969825,345.0,300.0,327.5,-0.169,0.86,1.03,0.9450000000000001,0.2393,102.0,0.17553435114503815,Information Technology
AAPL,2026-09-25,8,336.71,65681.0,57943.0,0.8821881518247287,58704.0,28045.0,0.234,3.464291423724793,325.0,-3.477770187995599,340.0,250.0,327.5,-0.2071,1.35,1.44,1.395,0.2425,680.0,0.19434160305343512,Information Technology
AAPL,2026-09-28,11,336.71,3487.0,1932.0,0.5540579294522512,3543.0,1819.0,0.21990000000000004,3.817465665803564,340.0,0.9771019571738426,360.0,320.0,327.5,-0.2226,1.5,1.78,1.6400000000000001,0.2224,58.0,0.16616238723108953,Information Technology
AAPL,2026-09-30,13,336.71,785.0,1406.0,1.7910828025477707,4025.0,744.0,0.22394999999999998,4.226455597520009,320.0,-4.962727569718739,335.0,280.0,325.0,-0.2025,1.24,1.96,1.6,0.2332,167.0,0.13822485207100593,Information Technology
AAPL,2026-10-02,15,336.71,38550.0,21258.0,0.5514396887159533,11781.0,8032.0,0.23220000000000002,4.70718657793082,340.0,0.9771019571738426,345.0,300.0,325.0,-0.2192,2.04,2.17,2.105,0.2445,1469.0,0.1576051282051282,Information Technology
AAPL,2026-10-09,22,336.71,19900.0,12211.0,0.6136180904522613,15529.0,3064.0,0.232725,5.713575191821906,340.0,0.9771019571738426,345.0,300.0,320.0,-0.1843,2.02,2.14,2.08,0.2495,1387.0,0.1078409090909091,Information Technology
AAPL,2026-10-16,29,336.71,380588.0,193909.0,0.5094984602772552,37050.0,20888.0,0.23424999999999999,6.60286117413743,340.0,0.9771019571738426,340.0,300.0,320.0,-0.2115,2.81,3.0,2.9050000000000002,0.2493,12366.0,0.11425915948275864,Information Technology
AAPL,2026-10-23,36,336.71,15691.0,13081.0,0.8336626091389969,6026.0,1860.0,0.2358,7.405401656806343,330.0,-1.9928128062724593,360.0,300.0,315.0,-0.18,2.54,2.76,2.65,0.2548,452.0,0.08529541446208112,Information Technology
AAPL,2026-10-30,43,336.71,7160.0,3978.0,0.5555865921787709,4233.0,1517.0,0.265275,9.105087396050958,350.0,3.9470167206201223,350.0,270.0,315.0,-0.2174,3.75,4.35,4.05,0.2787,412.0,0.10913621262458473,Information Technology
AAPL,2026-11-20,64,336.71,206953.0,145441.0,0.7027730934076819,11471.0,7185.0,0.261825,10.963637482574615,325.0,-3.477770187995599,400.0,300.0,310.0,-0.2094,4.8,5.0,4.9,0.2821,14572.0,0.09014616935483871,Information Technology
AAPL,2026-12-18,92,336.71,283345.0,193129.0,0.6816036986712312,7897.0,5415.0,0.25727500000000003,12.91650654400678,310.0,-7.932642333165029,300.0,250.0,305.0,-0.2018,5.5,5.8,5.65,0.281,4132.0,0.07349429793300072,Information Technology
AAPL,2027-01-15,120,336.71,519391.0,315605.0,0.607644337310427,9004.0,4693.0,0.25505,14.624112477460798,315.0,-6.4476849514418895,300.0,240.0,300.0,-0.1917,5.9,6.15,6.025,0.2798,13771.0,0.06108680555555556,Information Technology
AAPL,2027-02-19,155,336.71,49443.0,50469.0,1.0207511680116497,2233.0,1091.0,0.26702499999999996,17.400885150588532,310.0,-7.932642333165029,400.0,270.0,300.0,-0.2144,8.2,8.5,8.35,0.2891,3748.0,0.06554301075268816,Information Technology
AAPL,2027-03-19,183,336.71,76499.0,74338.0,0.9717512647224147,3108.0,4987.0,0.2691,19.05429173962208,310.0,-7.932642333165029,330.0,250.0,290.0,-0.1828,7.5,7.7,7.6,0.2961,9152.0,0.052270586018466174,Information Technology
AAPL,2027-04-16,211,336.71,12666.0,6352.0,0.5015000789515237,692.0,2936.0,0.2679,20.368896857171283,345.0,2.4620593388969825,285.0,260.0,290.0,-0.1901,8.3,8.85,8.575,0.2937,324.0,0.0511501062265076,Information Technology
AAPL,2027-06-17,273,336.71,118430.0,87390.0,0.7379042472346534,1568.0,1585.0,0.275975,23.867373713132512,300.0,-10.902557096611321,350.0,290.0,290.0,-0.2063,10.85,11.3,11.075,0.296,12728.0,0.05105942907667045,Information Technology
AAPL,2027-09-17,365,336.71,45336.0,27946.0,0.6164196223751544,655.0,483.0,0.2772,27.72,350.0,3.9470167206201223,350.0,310.0,285.0,-0.202,12.3,12.9,12.600000000000001,0.2958,657.0,0.04421052631578948,Information Technology
AAPL,2027-12-17,456,336.71,79441.0,44533.0,0.56057954960285,309.0,204.0,0.28074999999999994,31.3802033834002,320.0,-4.962727569718739,300.0,250.0,280.0,-0.1963,13.6,14.35,13.975,0.2994,2945.0,0.039950462092731835,Information Technology
AAPL,2028-01-21,491,336.71,85929.0,55567.0,0.6466617789104959,2387.0,352.0,0.2797,32.440443297986285,320.0,-4.962727569718739,300.0,250.0,280.0,-0.1984,14.3,15.0,14.65,0.2978,5397.0,0.03889474832702939,Information Technology
AAPL,2028-03-17,547,336.71,21576.0,8074.0,0.3742120875046348,980.0,73.0,0.281875,34.506728764856426,350.0,3.9470167206201223,350.0,300.0,280.0,-0.2022,15.55,16.8,16.175,0.3003,656.0,0.03854710759989554,Information Technology
AAPL,2028-12-15,820,336.71,62864.0,31071.0,0.4942574446424026,1781.0,1595.0,0.28615,42.88982203561324,340.0,0.9771019571738426,340.0,260.0,280.0,-0.2111,19.8,21.95,20.875,0.2962,2928.0,0.03318543118466899,Information Technology
AAPL,2029-01-19,855,336.71,1076.0,610.0,0.5669144981412639,90.0,430.0,0.28380000000000005,43.43591916804114,320.0,-4.962727569718739,250.0,250.0,280.0,-0.2111,20.7,22.25,21.475,0.2966,137.0,0.032741750208855475,Information Technology
ABBV,2026-09-18,1,263.32,39141.0,17450.0,0.4458240719450193,1034.0,269.0,0.31475000000000003,1.6474767963526977,280.0,6.3344979492632625,280.0,220.0,260.0,-0.2104,0.44,0.93,0.685,0.3446,516.0,0.9616346153846155,Health Care
ABBV,2026-09-25,8,263.32,1601.0,925.0,0.5777638975640225,444.0,286.0,0.247,3.6567520583761697,265.0,0.638006987695583,260.0,245.0,255.0,-0.1893,0.94,1.25,1.095,0.2616,73.0,0.1959191176470588,Health Care
ABBV,2026-10-02,15,263.32,1819.0,1117.0,0.6140736668499175,54.0,96.0,0.244975,4.966162928202422,270.0,2.536837308218143,280.0,235.0,252.5,-0.1989,1.29,1.81,1.55,0.2599,10.0,0.14937293729372939,Health Care
ABBV,2026-10-09,22,263.32,1684.0,209.0,0.12410926365795724,31.0,41.0,0.252575,6.2009077412156755,280.0,6.3344979492632625,270.0,240.0,250.0,-0.1931,1.75,2.19,1.97,0.2703,24.0,0.13073636363636362,Health Care
